dataset,method,seed,rank_hv(auditor_fn_violation:accuracy),rank_hv(auditor_fn_violation:auc_prc),rank_hv(auditor_fn_violation:ave_precision_score),rank_hv(auditor_fp_violation:accuracy),rank_hv(auditor_fp_violation:auc_prc),rank_hv(auditor_fp_violation:ave_precision_score),method_nice
adult,feat_flex2,871,2.0,1.0,1.0,2.0,2.0,1.0,FLEX
adult,feat_flex2,1318,2.0,3.0,2.0,2.0,4.0,2.0,FLEX
adult,feat_flex2,2917,3.0,2.0,1.0,3.0,2.0,1.0,FLEX
adult,feat_flex2,4719,5.0,5.0,4.0,5.0,5.0,4.0,FLEX
adult,feat_flex2,4866,5.0,2.0,1.0,5.0,2.0,2.0,FLEX
adult,feat_flex2,5740,1.0,6.0,4.0,1.0,6.0,3.0,FLEX
adult,feat_flex2,6126,6.0,8.0,7.0,6.0,8.0,7.0,FLEX
adult,feat_flex2,6654,3.0,3.0,2.0,3.0,3.0,2.0,FLEX
adult,feat_flex2,6832,5.0,7.0,5.0,5.0,7.0,5.0,FLEX
adult,feat_flex2,6933,4.0,3.0,2.0,4.0,3.0,2.0,FLEX
adult,feat_flex2,7376,2.0,3.0,2.0,2.0,3.0,2.0,FLEX
adult,feat_flex2,8233,3.0,4.0,2.0,3.0,4.0,2.0,FLEX
adult,feat_flex2,8653,2.0,1.0,1.0,2.0,3.0,1.0,FLEX
adult,feat_flex2,9271,1.0,1.0,1.0,1.0,1.0,1.0,FLEX
adult,feat_flex2,9292,1.0,2.0,2.0,1.0,2.0,1.0,FLEX
adult,feat_flex2,9296,3.0,3.0,2.0,2.0,3.0,2.0,FLEX
adult,feat_flex2,9540,4.0,4.0,2.0,4.0,4.0,2.0,FLEX
adult,feat_flex2,9675,2.0,3.0,4.0,2.0,4.0,5.0,FLEX
adult,feat_flex2,10102,6.0,8.0,5.0,6.0,8.0,5.0,FLEX
adult,feat_flex2,10132,4.0,4.0,5.0,4.0,6.0,5.0,FLEX
adult,feat_flex2,10197,1.0,1.0,1.0,1.0,1.0,1.0,FLEX
adult,feat_flex2,12092,3.0,4.0,2.0,3.0,4.0,2.0,FLEX
adult,feat_flex2,12498,6.0,8.0,8.0,6.0,8.0,8.0,FLEX
adult,feat_flex2,12669,5.0,2.0,2.0,5.0,2.0,2.0,FLEX
adult,feat_flex2,13352,2.0,1.0,1.0,2.0,2.0,1.0,FLEX
adult,feat_flex2,14289,2.0,3.0,3.0,2.0,4.0,3.0,FLEX
adult,feat_flex2,14724,4.0,7.0,5.0,4.0,7.0,5.0,FLEX
adult,feat_flex2,15860,2.0,4.0,3.0,3.0,4.0,2.0,FLEX
adult,feat_flex2,16695,1.0,2.0,1.0,1.0,1.0,1.0,FLEX
adult,feat_flex2,18313,2.0,2.0,1.0,2.0,2.0,1.0,FLEX
adult,feat_flex2,18998,1.0,1.0,1.0,1.0,2.0,1.0,FLEX
adult,feat_flex2,19863,1.0,2.0,1.0,1.0,2.0,1.0,FLEX
adult,feat_flex2,20300,1.0,1.0,1.0,1.0,2.0,1.0,FLEX
adult,feat_flex2,20404,3.0,2.0,1.0,3.0,2.0,1.0,FLEX
adult,feat_flex2,21353,3.0,5.0,5.0,3.0,6.0,5.0,FLEX
adult,feat_flex2,21924,2.0,7.0,4.0,2.0,7.0,4.0,FLEX
adult,feat_flex2,22571,5.0,5.0,3.0,5.0,4.0,3.0,FLEX
adult,feat_flex2,22727,1.0,1.0,1.0,1.0,1.0,1.0,FLEX
adult,feat_flex2,24284,2.0,5.0,3.0,2.0,5.0,4.0,FLEX
adult,feat_flex2,24481,3.0,5.0,3.0,3.0,5.0,4.0,FLEX
adult,feat_flex2,25349,3.0,4.0,2.0,3.0,4.0,3.0,FLEX
adult,feat_flex2,26311,2.0,5.0,2.0,2.0,6.0,2.0,FLEX
adult,feat_flex2,27690,1.0,3.0,2.0,1.0,3.0,2.0,FLEX
adult,feat_flex2,28699,3.0,6.0,4.0,3.0,6.0,4.0,FLEX
adult,feat_flex2,29198,4.0,3.0,2.0,4.0,2.0,2.0,FLEX
adult,feat_flex2,29756,6.0,5.0,4.0,6.0,5.0,4.0,FLEX
adult,feat_flex2,29759,4.0,3.0,2.0,3.0,3.0,2.0,FLEX
adult,feat_flex2,30132,1.0,1.0,1.0,1.0,1.0,1.0,FLEX
adult,feat_flex2,31658,2.0,4.0,4.0,2.0,5.0,4.0,FLEX
adult,feat_flex2,32400,3.0,2.0,1.0,3.0,1.0,1.0,FLEX
adult,feat_flex2_nsga2,871,3.0,5.0,4.0,3.0,5.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,1318,3.0,4.0,3.0,3.0,3.0,3.0,FLEX-NSGA2
adult,feat_flex2_nsga2,2917,4.0,5.0,2.0,4.0,5.0,2.0,FLEX-NSGA2
adult,feat_flex2_nsga2,4719,6.0,6.0,5.0,6.0,6.0,5.0,FLEX-NSGA2
adult,feat_flex2_nsga2,4866,6.0,3.0,2.0,6.0,4.0,3.0,FLEX-NSGA2
adult,feat_flex2_nsga2,5740,4.0,5.0,3.0,4.0,5.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,6126,5.0,6.0,6.0,5.0,6.0,6.0,FLEX-NSGA2
adult,feat_flex2_nsga2,6654,1.0,2.0,1.0,1.0,2.0,1.0,FLEX-NSGA2
adult,feat_flex2_nsga2,6832,1.0,2.0,1.0,1.0,2.0,1.0,FLEX-NSGA2
adult,feat_flex2_nsga2,6933,5.0,5.0,4.0,5.0,5.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,7376,5.0,7.0,4.0,5.0,7.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,8233,4.0,6.0,3.0,4.0,6.0,3.0,FLEX-NSGA2
adult,feat_flex2_nsga2,8653,5.0,8.0,7.0,5.0,8.0,7.0,FLEX-NSGA2
adult,feat_flex2_nsga2,9271,4.0,4.0,3.0,4.0,4.0,3.0,FLEX-NSGA2
adult,feat_flex2_nsga2,9292,6.0,6.0,6.0,6.0,7.0,6.0,FLEX-NSGA2
adult,feat_flex2_nsga2,9296,4.0,4.0,4.0,4.0,4.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,9540,6.0,8.0,7.0,6.0,8.0,7.0,FLEX-NSGA2
adult,feat_flex2_nsga2,9675,5.0,6.0,6.0,5.0,7.0,6.0,FLEX-NSGA2
adult,feat_flex2_nsga2,10102,4.0,6.0,4.0,4.0,6.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,10132,6.0,8.0,8.0,6.0,8.0,8.0,FLEX-NSGA2
adult,feat_flex2_nsga2,10197,4.0,7.0,3.0,4.0,7.0,4.0,FLEX-NSGA2
adult,feat_flex2_nsga2,12092,4.0,8.0,7.0,4.0,8.0,7.0,FLEX-NSGA2
